collection_date,positive_result,positive_tests,total_tests,positivity,positivity_7day
2022-01-16,COVID,5200,17145,0.30329542140565763,0.2942128770404233
2022-01-16,FluA,21,17145,0.0012248468941382328,0.0012990510623477867
2022-01-17,COVID,8312,25311,0.3283947690727352,0.29693030877426646
2022-01-17,FluA,32,25311,0.0012642724507131286,0.0013045661400220177
2022-01-18,COVID,10841,31373,0.34555190769132693,0.3015304885372205
2022-01-18,FluA,44,31373,0.0014024798393523093,0.0012723910274001148
2022-01-19,COVID,9301,28991,0.32082370390810944,0.3067454876594796
2022-01-19,FluA,36,28991,0.0012417646855920803,0.0012837695468575707
2022-01-20,COVID,9014,29068,0.3101004541076097,0.30856319466529364
2022-01-20,FluA,43,29068,0.0014792899408284023,0.0012428860551235278
2022-01-21,COVID,7985,26480,0.3015483383685801,0.3125621192207891
2022-01-21,FluA,36,26480,0.0013595166163141994,0.0013057529530253564
2022-01-22,COVID,6192,20359,0.3041406748857999,0.3162650384914027
2022-01-22,FluA,17,20359,0.0008350115428066211,0.0012581688528207106
2022-01-23,COVID,5500,18106,0.3037667071688943,0.31633236502900797
2022-01-23,FluA,20,18106,0.0011046062078868884,0.0012409916119276614
2022-01-24,COVID,8399,27561,0.3047422081927361,0.31295342776043666
2022-01-24,FluA,46,27561,0.0016690250716592287,0.0012988134149199612
2022-01-25,COVID,7927,26692,0.2969803686497827,0.3060146364687875
2022-01-25,FluA,39,26692,0.0014611119436535292,0.0013071894298201357
2022-01-26,COVID,6486,25209,0.25728906342972746,0.29693825925759004
2022-01-26,FluA,42,25209,0.0016660716410805665,0.0013678047091756336
2022-01-27,COVID,6414,23897,0.2684018914508097,0.29098132173519003
2022-01-27,FluA,58,23897,0.0024270828974348245,0.0015032037029765511
2022-01-28,COVID,5581,20923,0.26673995124982075,0.2860086950039387
2022-01-28,FluA,38,20923,0.0018161831477321608,0.0015684417788934027
2022-01-29,COVID,4180,15445,0.2706377468436387,0.28122256242648713
2022-01-29,FluA,35,15445,0.0022661055357720947,0.0017728837778884703
2022-01-30,COVID,3631,14383,0.2524508099840089,0.2738917199715035
2022-01-30,FluA,32,14383,0.002224848779809497,0.0019329184310202718
2022-01-31,COVID,5149,20827,0.24722715705574494,0.2656752840947904
2022-01-31,FluA,48,20827,0.0023047006289912135,0.002023729224924841
2022-02-01,COVID,4841,19850,0.24387909319899245,0.2580893876018204
2022-02-01,FluA,53,19850,0.0026700251889168764,0.0021964311171053194
2022-02-02,COVID,4036,19207,0.2101317228093924,0.2513526246560583
2022-02-02,FluA,48,19207,0.0024990888738480764,0.002315433578929249
2022-02-03,COVID,3410,17477,0.19511357784516795,0.24088286556953803
2022-02-03,FluA,47,17477,0.002689248726898209,0.002352885840281161
2022-02-04,COVID,3213,15761,0.2038576232472559,0.2318996758548859
2022-02-04,FluA,32,15761,0.002030328024871518,0.0023834779655867834
2022-02-05,COVID,2754,12451,0.22118705324873505,0.22483529105561395
2022-02-05,FluA,32,12451,0.0025700746927957594,0.0024269021308758786
2022-02-06,COVID,2212,10753,0.20571003440900215,0.21815803740204157
2022-02-06,FluA,39,10753,0.0036268948200502186,0.002627194422338839
2022-02-07,COVID,2977,15861,0.1876930836643339,0.2096531697746971
2022-02-07,FluA,47,15861,0.0029632431750835383,0.0027212719289234568
2022-02-08,COVID,2649,14732,0.17981265272875374,0.2005008211360916
2022-02-08,FluA,50,14732,0.0033939723051859896,0.0028246929455333298
2022-02-09,COVID,2245,15142,0.14826310923259808,0.1916624477679781
2022-02-09,FluA,53,15142,0.003500198124422137,0.002967708552758196
2022-02-10,COVID,2142,13784,0.1553975623911782,0.18598873127455098
2022-02-10,FluA,46,13784,0.003337202553685432,0.003060273385156371
2022-02-11,COVID,1847,12161,0.1518789573225886,0.1785632075710271
2022-02-11,FluA,45,12161,0.0037003535893429815,0.003298848465795151
2022-02-12,COVID,1565,9866,0.1586255828096493,0.1696258546511577
2022-02-12,FluA,42,9866,0.004257044394891546,0.0035398441375231204
2022-02-13,COVID,1151,8739,0.13170843345920585,0.1590541973726154
2022-02-13,FluA,32,8739,0.003661746195216844,0.0035448229054040672
2022-02-14,COVID,1598,12860,0.12426127527216174,0.14999251045944792
2022-02-14,FluA,50,12860,0.0038880248833592537,0.0036769345780148835
2022-02-15,COVID,1484,12829,0.11567542287006002,0.14083004905106314
2022-02-15,FluA,55,12829,0.004287161898822979,0.0038045330913915967
2022-02-16,COVID,1339,14450,0.09266435986159169,0.13288737056949076
2022-02-16,FluA,59,14450,0.004083044982698962,0.003887796928288286
2022-02-17,COVID,1256,12851,0.0977355847793946,0.12464994519637883
2022-02-17,FluA,57,12851,0.004435452493969341,0.004044689776900272
2022-02-18,COVID,965,10957,0.0880715524322351,0.11553460164061405
2022-02-18,FluA,49,10957,0.004472027014693803,0.004154928837664675
2022-02-19,COVID,883,8698,0.10151759025063233,0.10737631698932591
2022-02-19,FluA,31,8698,0.003564037709818349,0.004055927882654219
