age_bin,collection_date,positive_result,positivity_7day
25-44,2021-11-27,COVID,0.0766786474017583
25-44,2021-11-28,COVID,0.08011548569505669
25-44,2021-11-29,COVID,0.08445696599262055
25-44,2021-11-30,COVID,0.08702453663804352
25-44,2021-12-01,COVID,0.08822460263612371
25-44,2021-12-02,COVID,0.09696531550999886
25-44,2021-12-03,COVID,0.09829654412879253
25-44,2021-12-04,COVID,0.1007088252044847
25-44,2021-12-05,COVID,0.09952664237494377
25-44,2021-12-06,COVID,0.09861548107051053
25-44,2021-12-07,COVID,0.09826058164805497
25-44,2021-12-08,COVID,0.09762737502404027
25-44,2021-12-09,COVID,0.09735842273867604
25-44,2021-12-10,COVID,0.09724551668386565
25-44,2021-12-11,COVID,0.09659396550614155
25-44,2021-12-12,COVID,0.09755341435084589
25-44,2021-12-13,COVID,0.09856124296137533
25-44,2021-12-14,COVID,0.10283575905920518
25-44,2021-12-15,COVID,0.10834287116326287
25-44,2021-12-16,COVID,0.11374574805619149
25-44,2021-12-17,COVID,0.1195619417153518
25-44,2021-12-18,COVID,0.12572938134001238
25-44,2021-12-19,COVID,0.13210045462258788
25-44,2021-12-20,COVID,0.13992083537661237
25-44,2021-12-21,COVID,0.146914510970755
25-44,2021-12-22,COVID,0.15726681547586172
25-44,2021-12-23,COVID,0.16801677868390957
25-44,2021-12-24,COVID,0.18094758164820363
25-44,2021-12-25,COVID,0.15866886992849813
25-44,2021-12-26,COVID,0.1745559616963314
25-44,2021-12-27,COVID,0.19554840689780553
25-44,2021-12-28,COVID,0.2169741395497642
25-44,2021-12-29,COVID,0.23490189551325039
25-44,2021-12-30,COVID,0.2507470081235658
25-44,2021-12-31,COVID,0.2724847726074509
25-44,2022-01-01,COVID,0.30269245039222126
25-44,2022-01-02,COVID,0.31393045292420846
25-44,2022-01-03,COVID,0.3180350535261309
25-44,2022-01-04,COVID,0.3211385723137149
25-44,2022-01-05,COVID,0.32413680340024487
25-44,2022-01-06,COVID,0.3258587447023271
25-44,2022-01-07,COVID,0.3164905055664489
25-44,2022-01-08,COVID,0.3290886201201812
25-44,2022-01-09,COVID,0.3251650757910881
25-44,2022-01-10,COVID,0.32080569034100886
25-44,2022-01-11,COVID,0.315441873519548
25-44,2022-01-12,COVID,0.30825349886703707
25-44,2022-01-13,COVID,0.3045781582487503
25-44,2022-01-14,COVID,0.29942156465216346
25-44,2022-01-15,COVID,0.2964721928962956
25-44,2022-01-16,COVID,0.29781618778013985
25-44,2022-01-17,COVID,0.3001426983836618
25-44,2022-01-18,COVID,0.3045728290153851
25-44,2022-01-19,COVID,0.30922624860612347
25-44,2022-01-20,COVID,0.3103711393525407
25-44,2022-01-21,COVID,0.3144272821474924
25-44,2022-01-22,COVID,0.3179148314552193
25-44,2022-01-23,COVID,0.31625987540724865
